final_value,total_invested,total_shares,roi_percent
252157.56491566217,261000,40.845262968020286,-3.3879061625815456
244078.04016006747,261000,62.02453742614162,-6.48350951721553
170901.94468444368,261000,70.83467378548804,-34.52032770710971
571092.7098865067,261000,28.534635524793572,118.80946738946616
253014.03989023538,261000,89.90159552916215,-3.0597548313274414
201696.8515332445,261000,79.80777797186217,-22.721512822511684
183535.65325821258,261000,107.37007017124395,-29.679826337849587
305699.3561172713,261000,48.627337161597126,17.126190083245707
269712.96453025285,261000,50.29095638960775,3.3383005863037747
435979.6728308693,261000,24.91725241637163,67.04202024171238
309875.6748267352,261000,60.11560173073156,18.726312194151426
239830.29500334806,261000,49.27924864883197,-8.110998083008408
213487.96430006443,261000,69.62833810571172,-18.203845095760755
306393.7628754677,261000,55.60165953046056,17.392246312439738
169949.87633630898,261000,138.81053271221813,-34.8851048519889
318862.9886859449,261000,43.7532433174958,22.169727465879262
160800.8631801497,261000,75.43716662616282,-38.390473877337286
590117.6388646021,261000,36.629195865612765,126.0987122086598
162972.62100147185,261000,47.48585469181842,-37.558382758056766
298634.7882124192,261000,58.02618457140648,14.419459085218083
451460.42060314876,261000,42.669109971962946,72.97334122726006
328143.0048931826,261000,49.82094299757276,25.725289231104448
292435.0864159355,261000,60.42201053960456,12.044094412235818
382739.065369316,261000,49.9642012967251,46.64332006487204
275197.3851055064,261000,57.53364892176666,5.439611151535019
205901.90867660416,261000,60.33212351822237,-21.110379817393042
437474.06263690436,261000,26.31916940429996,67.61458338578711
214687.0887272137,261000,73.75657048386326,-17.74441044934341
178716.81225364108,261000,53.560720804272655,-31.526125573317593
341738.6296833248,261000,42.0553702813187,30.93434087483708
201895.7472237211,261000,46.61358367711059,-22.645307577118356
218653.92864603532,261000,58.125708941348925,-16.224548411480722
287038.5270721289,261000,69.63738104194653,9.976447154072375
248309.59327634276,261000,41.7472495902566,-4.862224798336109
207725.6174120251,261000,38.446824343324934,-20.411640838304557
375967.85515757115,261000,47.6081474802195,44.0489866504104
293960.2956520483,261000,59.643981373171655,12.62846576706832
313744.273913264,261000,40.05225056101594,20.20853406638467
303376.1107154231,261000,48.52210037777283,16.236057745372847
330387.8868269404,261000,43.729345606668076,26.585397251701302
280453.5715948501,261000,71.53930019678626,7.453475706839119
416869.9486660664,261000,62.55821117356617,59.72028684523617
357433.35462608346,261000,33.57048055965343,36.947645450606686
261499.23224802295,261000,73.68306229487406,0.19127672338044008
379056.23862071725,261000,50.35917930971526,45.23227533360814
