Date,Price,Open,High,Low,Vol.,Change %
2/13/2014,"1,829.80","1,814.80","1,830.20","1,809.20",,0.58%
2/12/2014,"1,819.30","1,820.10","1,826.50","1,816.00",,-0.03%
2/11/2014,"1,819.80","1,800.50","1,823.50","1,800.40",,1.11%
2/10/2014,"1,799.80","1,796.20","1,799.90","1,791.80",,0.16%
2/7/2014,"1,797.00","1,776.00","1,798.00","1,776.00",,1.33%
2/6/2014,"1,773.40","1,753.00","1,774.10","1,753.00",,1.24%
2/5/2014,"1,751.60","1,753.40","1,755.80","1,737.90",,-0.21%
2/4/2014,"1,755.20","1,743.80","1,758.70","1,743.80",,0.76%
2/3/2014,"1,741.90","1,782.70","1,784.80","1,739.70",,-2.28%
1/31/2014,"1,782.60","1,790.90","1,793.90","1,772.30",,-0.65%
1/30/2014,"1,794.20","1,777.20","1,798.80","1,777.20",,1.13%
1/29/2014,"1,774.20","1,790.20","1,790.20","1,770.50",,-1.02%
1/28/2014,"1,792.50","1,783.00","1,793.90","1,779.50",,0.61%
1/27/2014,"1,781.60","1,791.00","1,796.00","1,772.90",,-0.49%
1/24/2014,"1,790.30","1,827.00","1,827.00","1,790.30",,-2.09%
1/23/2014,"1,828.50","1,842.30","1,842.30","1,820.10",,-0.89%
1/22/2014,"1,844.90","1,844.70","1,846.90","1,840.90",,0.06%
1/21/2014,"1,843.80","1,841.00","1,849.30","1,832.40",,0.28%
1/17/2014,"1,838.70","1,844.20","1,846.00","1,835.20",,-0.39%
1/16/2014,"1,845.90","1,848.00","1,848.00","1,840.30",,-0.14%
1/15/2014,"1,848.40","1,840.50","1,850.80","1,840.50",,0.52%
1/14/2014,"1,838.90","1,821.40","1,839.30","1,821.40",,1.08%
1/13/2014,"1,819.20","1,841.30","1,843.50","1,815.50",,-1.26%
1/10/2014,"1,842.40","1,840.10","1,843.20","1,832.40",,0.23%
1/9/2014,"1,838.10","1,839.00","1,843.20","1,830.40",,0.03%
1/8/2014,"1,837.50","1,837.90","1,840.00","1,831.40",,-0.02%
1/7/2014,"1,837.90","1,828.70","1,840.10","1,828.70",,0.61%
1/6/2014,"1,826.80","1,832.30","1,837.20","1,823.70",,-0.25%
1/3/2014,"1,831.40","1,833.20","1,838.20","1,829.10",,-0.03%
1/2/2014,"1,832.00","1,845.90","1,845.90","1,827.70",,-0.89%
