Final_Value,Total_Return,Annualized_Return
70324.55061239307,-0.29675449387606934,-0.29675449387606934
79759.76999631725,-0.20240230003682752,-0.20240230003682746
128830.78475722735,0.28830784757227346,0.28830784757227357
44442.388728378064,-0.5555761127162193,-0.5555761127162193
115009.53207798694,0.15009532077986937,0.15009532077986942
230240.8618606901,1.3024086186069008,1.302408618606901
150835.70569299944,0.5083570569299944,0.5083570569299944
83756.18829679166,-0.16243811703208338,-0.16243811703208344
93623.3128718894,-0.063766871281106,-0.06376687128110603
99905.08684985143,-0.000949131501485681,-0.0009491315014856783
41616.46984280192,-0.5838353015719808,-0.5838353015719808
96209.12175182744,-0.03790878248172565,-0.03790878248172569
172820.93224552137,0.7282093224552137,0.7282093224552137
149686.96389132075,0.49686963891320746,0.49686963891320746
