final_value,total_invested,total_btc,roi_percent
128603.75499217048,261000,0.07445043294483154,-50.726530654340806
246762.537898162,261000,0.41628598933352906,-5.454966322543294
78772.87427745825,261000,0.28349549693852244,-69.81882211591639
1317283.2747623995,261000,1.7317372598473881,404.7062355411493
214176.15090114894,261000,0.9875377503399912,-17.94017206852531
255222.2598703003,261000,13.750557089723571,-2.2136935362834094
514373.00056918804,261000,0.11626605928672529,97.07777799585749
995461.1337127945,261000,0.08245581356285685,281.4027332232929
5724514.032922688,261000,69.04461852768299,2093.3003957558194
5367145378257.259,261000,0.014926454386926028,2056377439.562168
2391219.752967357,261000,944.1248498810622,816.1761505622059
4184887.015346416,261000,0.03290897333140526,1503.4049867227648
330775.846017249,261000,0.8505008159148059,26.73404061963563
453580.1786465218,261000,14883.64157008237,73.78550905997004
