Date,Price,Open,High,Low,Vol.,Change %,Swing (Day),Swing Ratio (Day),3 M High,3 M Low,Swing Ratio (M),Log Swing Ratio (M),YR HIGH,YR Low,Swing Ratio (YR),Swing Ratio (YR) log,LN(Price,,,,,,,,,,,,
6/30/2022,"19,926.60","20,111.30","20,155.10","18,682.70",127.73K,-0.92%,1472.4,0.073550311,47435,17630.5,0.921829493,-0.035349401,68990.6,17630.5,1.195870139,0.077684022,9.899810802,4365,8.381373468,4.299433203,,,,,,,,,
7/1/2022,"19,262.90","19,926.60","20,785.60","18,980.10",150.18K,-3.33%,1805.5,0.092142028,47435,17630.5,0.930317207,-0.031368946,68990.6,17630.5,1.196960561,0.078079841,9.865936245,4366,8.381602537,4.28472167,,,,,,,,,
7/2/2022,"19,243.20","19,275.40","19,425.40","19,006.40",58.57K,-0.10%,419,0.021755723,47201,17630.5,0.931791547,-0.030681234,68990.6,17630.5,1.19807514,0.078484057,9.864913031,4367,8.381831553,4.284277294,,,,,,,,,
7/3/2022,"19,309.90","19,243.40","19,626.40","18,794.40",65.27K,0.35%,832,0.043161026,47201,17630.5,0.940790185,-0.026507222,68990.6,17630.5,1.199257978,0.078912616,9.868373197,4368,8.382060517,4.285780025,,,,,,,,,
7/4/2022,"20,215.80","19,310.60","20,303.80","19,052.50",92.79K,4.69%,1251.3,0.063314645,45519,17630.5,0.895281015,-0.048040625,68990.6,17630.5,1.200416212,0.079331852,9.914219756,4369,8.382289429,4.305690932,,,,,,,,,
7/5/2022,"20,200.60","20,215.80","20,706.90","19,315.40",122.43K,-0.08%,1391.5,0.068858186,43979,17630.5,0.852831831,-0.069136599,68990.6,17630.5,1.201453841,0.07970709,9.913467586,4370,8.382518288,4.305364269,,,,,,,,,
7/6/2022,"20,561.10","20,180.40","20,654.90","19,785.30",105.24K,1.78%,869.6,0.042688659,43979,17630.5,0.859909738,-0.065547133,68990.6,17630.5,1.202506941,0.080087592,9.93115622,4371,8.382747095,4.313046345,,,,,,,,,
7/7/2022,"21,637.80","20,557.90","21,817.80","20,282.70",115.81K,5.24%,1535.1,0.072760969,43421,17630.5,0.848045201,-0.071580999,68990.6,17630.5,1.203451053,0.080428431,9.982197064,4372,8.382975849,4.335213102,,,,,,,,,
7/8/2022,"21,611.20","21,637.10","22,482.10","21,207.00",439.90K,-0.12%,1275.1,0.05896648,43421,17630.5,0.854651147,-0.06821112,68990.6,17630.5,1.204321218,0.080742338,9.980966978,4373,8.383204551,4.334678883,,,,,,,,,
7/9/2022,"21,587.50","21,610.40","21,944.10","21,338.40",190.11K,-0.11%,605.7,0.02804303,42969,17630.5,0.846074704,-0.072591289,68990.6,17630.5,1.205266625,0.081083131,9.979869722,4374,8.383433201,4.334202351,,,,,,,,,
7/10/2022,"20,847.40","21,587.40","21,599.20","20,689.70",204.68K,-3.43%,909.5,0.042865761,42969,17630.5,0.851969638,-0.069575882,68990.6,17630.5,1.2062487,0.081436858,9.944984519,4375,8.383661799,4.319051899,,,,,,,,,
7/11/2022,"19,963.20","20,847.20","20,855.00","19,897.00",160.20K,-4.24%,958,0.046948817,42969,17630.5,0.858420481,-0.066299929,68990.6,17630.5,1.20735688,0.081835661,9.901645858,4376,8.383890344,4.300230158,,,,,,,,,
7/12/2022,"19,330.90","19,963.20","20,051.70","19,279.60",167.91K,-3.17%,772.1,0.039298521,42969,17630.5,0.86552368,-0.062721046,68990.6,17630.5,1.20842952,0.082221326,9.869460131,4377,8.384118837,4.286252074,,,,,,,,,
7/13/2022,"20,250.00","19,331.60","20,250.80","18,942.20",249.38K,4.75%,1308.6,0.066121632,42969,17630.5,0.872039199,-0.059463993,68990.6,17630.5,1.209402316,0.082570796,9.915910073,4378,8.384347278,4.306425028,,,,,,,,,
7/14/2022,"20,586.00","20,250.00","20,862.20","19,664.90",205.28K,1.66%,1197.3,0.058639436,42969,17630.5,0.878751068,-0.056134134,68990.6,17630.5,1.210357658,0.082913722,9.932366512,4379,8.384575667,4.313571968,,,,,,,,,
7/15/2022,"20,825.10","20,586.10","21,178.10","20,393.40",164.67K,1.16%,784.7,0.03789796,42969,17630.5,0.885423645,-0.052848884,68990.6,17630.5,1.211219084,0.083222705,9.943914269,4380,8.384804003,4.318587096,,,,,,,,,
7/16/2022,"21,209.90","20,825.20","21,561.30","20,484.40",136.89K,1.85%,1076.9,0.051238132,42969,17630.5,0.891827156,-0.049719308,68990.6,17630.5,1.212016593,0.083508565,9.962223333,4381,8.385032288,4.326538621,,,,,,,,,
7/17/2022,"20,785.60","21,209.80","21,654.40","20,755.20",132.81K,-2.00%,899.2,0.042823738,42969,17630.5,0.89886369,-0.046306163,68990.6,17630.5,1.212858222,0.083810037,9.942015718,4382,8.38526052,4.317762565,,,,,,,,,
7/18/2022,"22,525.80","20,785.60","22,714.90","20,770.60",279.72K,8.37%,1944.3,0.089782367,42969,17630.5,0.905637876,-0.043045423,68990.6,17630.5,1.213585255,0.084070291,10.0224166,4383,8.3854887,4.352680224,,,,,,,,,
7/19/2022,"23,410.20","22,529.30","23,757.30","21,581.80",308.91K,3.93%,2175.5,0.094711523,42969,17630.5,0.912142874,-0.03993713,68990.6,17630.5,1.214169028,0.08427915,10.0609271,4384,8.385716829,4.369405124,,,,,,,,,
7/20/2022,"23,215.20","23,412.00","24,258.00","22,944.40",281.31K,-0.83%,1313.6,0.056344794,40792,17630.5,0.839573001,-0.075941536,68990.6,17630.5,1.214686585,0.084464235,10.05256252,4385,8.385944905,4.365772429,,,,,,,,,
7/21/2022,"23,153.00","23,219.90","23,403.80","22,360.20",217.08K,-0.27%,1043.6,0.045009046,40770,17630.5,0.844406149,-0.073448613,68990.6,17630.5,1.215393653,0.084716964,10.04987964,4386,8.386172929,4.364607272,,,,,,,,,
