reserve_pct,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_dca_rate
60,"[(15, 30), (25, 50), (35, 70)]","[(20, 10), (40, 20), (60, 30)]",66651.2917299935,65684.02293361344,27180.65908204187,2.1248576184360157,173515.20913841287,14510.486786438096,44005.92786694998,79931.13508508625,20.245901060804268,2.0974967559304964,3.6971415392082485,0.04964619449708839,62.8,57.599999999999994
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66623.7942788498,65243.78649186524,24759.64964818396,2.1164297643396113,153730.40060906386,15792.352328299723,44922.90139174983,80087.2523535641,20.196292783097594,1.4132049498598405,3.688713685111844,0.03672022256036216,62.4,59.199999999999996
40,"[(10, 40), (20, 60), (30, 80)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66579.90649863277,65345.59540883684,29010.353028196783,2.102972575830586,182621.25608085937,15230.955006955523,41806.9376366663,83375.47258551753,20.117114637546656,1.5714540202728693,3.675256496602819,0.03484924025525881,59.0,54.800000000000004
30,"[(10, 20), (20, 40), (30, 60)]","[(20, 10), (40, 20), (60, 30)]",66513.11467641348,65948.05119235828,28054.351613211147,2.0824787597851557,187936.1819717602,13854.676377946755,42432.61349714569,82595.21631255801,19.996615204785652,2.5078952529580123,3.6547626805573885,0.057511382488382196,62.2,55.800000000000004
50,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66470.55162347035,64808.09150149966,25986.398085924196,2.069410496294677,161034.13926914948,15397.591954456577,43597.99779330401,80908.69643762353,19.919827005784533,0.7359722549260277,3.6416944170669097,0.018220488028650332,61.6,56.8
80,"[(10, 20), (20, 40), (30, 60)]","[(20, 20), (40, 40), (60, 60)]",66453.02422027355,64502.510567601144,27910.33278189297,2.064027058385842,209324.4902912167,20443.413468292856,42739.21786927528,77586.44860183223,19.888205737299696,0.26098538576135477,3.636310979158075,0.006015833728888389,57.4,55.800000000000004
80,"[(20, 50), (40, 100)]","[(20, 10), (40, 20), (60, 30)]",66445.03465398017,65077.06318761032,28623.74115360834,2.061572733578654,164803.65759580905,16525.13317594889,41869.237476744835,79878.2817581654,19.8737917241111,1.1540546838581862,3.6338566543508866,0.02593848712363001,60.4,55.2
80,"[(10, 40), (20, 60), (30, 80)]","[(25, 25), (50, 50)]",66442.88181276796,65108.71030510643,26642.023826686665,2.060911359229789,168170.4631265223,15450.006429091809,44793.588084194955,80682.93913033656,19.869907773407608,1.2032461208558785,3.6331952800020217,0.02905573780261014,62.0,56.599999999999994
60,"[(10, 20), (20, 40), (30, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66437.3537478134,65077.512913563536,26512.219812851483,2.0592130038620704,204606.67115692745,16773.501409126347,43736.71247570756,78885.75505443112,19.859934566072386,1.1547537259082719,3.631496924634303,0.028021277453956824,61.6,55.2
10,"[(10, 40), (20, 60), (30, 80)]","[(20, 20), (40, 40), (60, 60)]",66434.27968820519,65519.037114574436,28694.293889670233,2.0582685294258107,232381.05214765767,16335.109730744132,40805.514740980034,83089.83293258859,19.854388641036145,1.84104719069705,3.6305524501980435,0.04127756106706253,60.199999999999996,56.2
60,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66429.45061255235,65788.83830798377,25037.305387197248,2.056784773050069,143379.92362814292,17977.53873352849,44497.35086955267,81743.75345733426,19.845676483505585,2.26041898369298,3.6290686938223016,0.05808259472123743,63.0,55.800000000000004
60,"[(20, 50), (40, 100)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66297.58744114292,65128.82301617635,28947.156273871093,2.0162358018892546,175650.4384903416,14905.650251605064,41822.31496406574,79587.42712596117,19.60778153126528,1.2345087835476742,3.5885197226614873,0.027436766582350225,60.199999999999996,51.2
60,"[(10, 40), (20, 60), (30, 80)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",66049.68869380628,65043.35456711257,26957.864654306235,1.9398299831050014,161067.6447659519,16455.792124465865,42726.58638825974,81036.95344982018,19.160546264376595,1.101658901471431,3.512113903877234,0.02629095182180982,60.199999999999996,52.800000000000004
50,"[(10, 20), (20, 40), (30, 60)]","[(25, 25), (50, 50)]",66048.81805319483,65426.89180429457,25492.986770671152,1.9395612356646108,196200.4932920676,17941.04843100404,45261.75912782243,79527.11498939109,19.15897553765688,1.6978189732828868,3.5118451564368436,0.042846496091382996,62.6,55.800000000000004
40,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(30, 15), (50, 25), (70, 35)]",66020.51539669896,65590.08262641956,25118.73371908356,1.9308232896222188,153233.1300627977,19300.69839043677,45316.63087969398,81533.27166301422,19.107914585281833,1.95147844309556,3.5031072103944516,0.049981658876315185,60.4,57.599999999999994
60,"[(10, 20), (20, 40), (30, 60)]","[(30, 15), (50, 25), (70, 35)]",65991.61813400578,65724.22607941987,26361.989993296844,1.9218986770276558,159360.58048424643,16134.607654767933,44660.39303097905,80071.15189854064,19.055780901139467,2.159987455574438,3.4941825977998886,0.052712994485844065,61.6,55.800000000000004
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(25, 25), (50, 50)]",65922.89309908624,65372.96009575966,27706.91616326726,1.9006611139654517,290329.09248373634,16026.87800347044,43337.928114309965,80188.50786876163,18.931793750480598,1.6139889611846636,3.4729450347376845,0.037476326970987045,62.4,56.2
10,"[(15, 30), (25, 50), (35, 70)]","[(15, 10), (30, 20), (45, 30), (60, 40)]",65901.90102907625,65589.97924344789,27740.840341315197,1.8941705665121988,165114.03061378136,13545.780837487435,42682.078207293205,84109.31838540887,18.89392186070975,1.9513177473564154,3.4664544872844316,0.04525358935543468,61.0,54.400000000000006
10,"[(20, 50), (40, 100)]","[(20, 10), (40, 20), (60, 30)]",65890.88198294172,66072.47917081241,29978.66346465526,1.890762920755984,218310.42947056744,16745.389043783918,42434.86312504581,82184.20816924647,18.874042349047095,2.701302790425793,3.4630468415282167,0.057970313673056925,60.6,52.800000000000004
80,"[(15, 30), (25, 50), (35, 70)]","[(20, 10), (40, 20), (60, 30)]",65859.35515060922,64616.19730404109,25768.440016712695,1.8810107126401965,156251.7145096882,16499.259273923304,42931.806691761194,77640.87544004542,18.8171646462597,0.43769702257143256,3.4532946334124293,0.010927733987432813,61.6,54.400000000000006
80,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(20, 20), (40, 40), (60, 60)]",65812.64475253382,66817.74368975023,27205.594851650803,1.8665548977565338,181703.8089427519,22110.84334333359,46566.547353699694,81977.99081477989,18.73289420288646,3.859722119909738,3.4388388185287666,0.09127302883922153,63.4,56.599999999999994
80,"[(10, 20), (20, 40), (30, 60)]","[(20, 10), (40, 20), (60, 30)]",65759.76398558856,66029.99230175234,26706.16468133517,1.8501795834803492,225369.68866381992,21098.539587120715,47605.16371353416,78705.36001906841,18.637491768738936,2.635262332148528,3.422463504252582,0.06348293271290671,62.2,56.8
70,"[(20, 50), (40, 100)]","[(30, 15), (50, 25), (70, 35)]",65744.89171525277,65574.18628498165,28703.79836169688,1.8455722662960028,165942.45804056135,18415.044836923294,42962.81582701187,79146.14439283013,18.6106606376246,1.9267695931210607,3.4178561870682356,0.043185212740640216,60.199999999999996,51.4
40,"[(10, 20), (20, 40), (30, 60)]","[(30, 15), (50, 25), (70, 35)]",65732.4054719086,65700.21407357212,26042.985205254172,1.8417034783716923,159198.72438897763,18348.839030715917,45948.79320624779,80069.12011757714,18.588134148747734,2.1226638328782217,3.413987399143925,0.052436670241216204,60.8,56.99999999999999
50,"[(5, 15), (15, 30), (25, 45), (35, 60)]","[(20, 10), (40, 20), (60, 30)]",65692.71594357962,64884.20001340881,26433.472313468224,1.8294020092767482,184972.35885237882,14157.137454720047,43772.751147591014,79693.63572682459,18.51653008868045,0.8542732998482742,3.401685930048981,0.020791569137190102,60.8,55.400000000000006
50,"[(10, 20), (20, 40), (30, 60)]","[(20, 20), (40, 40), (60, 60)]",65686.47507821294,64296.79706696825,25293.283631700557,1.8274671593320635,172292.33567702654,12462.684140740108,44467.41648430905,79398.53607429862,18.505270914852954,-0.0587702035810611,3.3997510801042963,-0.0014948466102558038,60.6,55.2
