base_btc_allocation,buy_tiers,sell_tiers,median_value,mean_value,std_value,cagr,max_value,min_value,percentile_25,percentile_75,median_improvement,mean_improvement,cagr_improvement,sharpe_ratio,win_rate,beat_baseline_rate
50,"[(20, 40), (40, 60)]","[(20, 15), (40, 25), (60, 35)]",58025.090611972395,62267.76041110795,25022.798661982073,-0.6671456052822711,205644.70623916393,21638.685930994394,44673.41755874634,75937.49701890814,6.041002021768477,4.2152490899100465,1.1584781122215615,0.10065128795659622,54.6,54.6
20,"[(15, 25), (25, 35), (35, 45)]","[(20, 25), (40, 35), (60, 45)]",57994.048043909905,62040.41263737121,17865.29022499109,-0.677776202955116,164315.01151686188,27627.7299745115,49847.966510358936,70203.05840205024,5.984271648959783,3.834745524122833,1.1478475145487166,0.1282503172920884,60.8,60.8
20,"[(15, 25), (25, 35), (35, 45)]","[(20, 15), (40, 25), (60, 35)]",57989.372347505254,61018.69982912493,17395.879637644015,-0.6793778002147643,169110.4672858335,26723.731044137006,48570.47962759012,70005.29753985805,5.975726801779546,2.1247425610044908,1.1462459172890682,0.07297799007972484,58.599999999999994,58.599999999999994
40,"[(15, 25), (25, 35), (35, 45)]","[(30, 20), (50, 30), (70, 40)]",57948.53293827767,61844.50921507684,22016.763038393237,-0.6933711872609494,204319.87058758124,24982.178082457678,46806.711105190014,71206.89121398436,5.9010926765968685,3.506869207114137,1.1322525302428832,0.09516956302441515,58.8,58.8
60,"[(10, 30), (20, 40), (30, 50)]","[(25, 30), (50, 50)]",57946.443333877876,61019.58282696276,23602.379340719515,-0.6940873902471445,158671.36690882663,20443.04022575494,44433.445683091675,72060.77182484472,5.897273919193025,2.1262204018487325,1.131536327256688,0.05382505344578414,54.800000000000004,54.800000000000004
30,"[(10, 30), (20, 40), (30, 50)]","[(30, 20), (50, 30), (70, 40)]",57933.0273881966,61386.897557896526,19840.997906327262,-0.6986861405815059,168802.74080537574,26771.71470112338,48412.62580079789,70883.2212132008,5.872756244026848,2.740981490507173,1.1269375769223267,0.08254191992396716,57.99999999999999,57.99999999999999
20,"[(10, 20), (20, 30), (30, 40)]","[(15, 10), (30, 20), (45, 30)]",57918.836196980184,60855.652289659,17885.23989791537,-0.7035515587910712,173118.76800830377,31522.7025090424,49216.559814245324,67846.17679583517,5.846821805655449,1.851855920682871,1.1220721587127613,0.0618649119874041,58.199999999999996,58.199999999999996
50,"[(10, 30), (20, 40), (30, 50)]","[(15, 10), (30, 20), (45, 30)]",57917.029552608925,64194.14620396134,29453.21877450172,-0.7041710312107097,355139.65865697665,22355.701028395823,46320.646881406356,74300.1275295324,5.843520158430001,7.439369789289923,1.121452686293123,0.15091602518868252,57.599999999999994,57.599999999999994
30,"[(15, 25), (25, 35), (35, 45)]","[(30, 20), (50, 30), (70, 40)]",57895.78803934732,61172.18031013849,19145.754292110363,-0.7114556008007811,148387.85518918783,21806.757005859967,47908.60069047618,69763.44542811502,5.804701238425509,2.3816171692072516,1.1141681167030515,0.07432440586705005,57.199999999999996,57.199999999999996
20,"[(10, 30), (20, 40), (30, 50)]","[(25, 30), (50, 50)]",57887.53951185462,60069.96489285499,15832.883115744778,-0.7142849291261633,125655.92532665549,29413.79343363145,48327.36507328467,69456.60059212869,5.789627033261769,0.5368799648409316,1.1113387883776693,0.020260453703162245,59.199999999999996,59.199999999999996
