reserve_pct,buy_threshold,sell_threshold,median_value,mean_value,std_value,median_improvement,mean_improvement,sharpe_ratio,win_rate
40,25,80,59223.58668999311,63801.382749874174,30539.03763571946,15.030306504989,2.6890322233723043,0.05470747739269425,63.0
20,30,20,59154.90094770767,61645.052039941475,29860.124097963755,14.896897800295465,-0.7816059385719671,-0.016263060303726398,58.4
50,10,40,59084.72102095757,59920.82532702916,25759.461655865976,14.76058693268762,-3.5567679311700204,-0.08578765120625197,60.8
50,5,60,59054.901263442785,61584.61768115844,29648.545787559942,14.702667849455029,-0.8788757084263265,-0.018417475230575724,61.6
30,10,60,59015.30522834446,63531.44877076089,31394.29613344688,14.625760247124486,2.2545704941020017,0.044618924596468865,59.4
50,5,40,59006.60094972208,62894.64196845621,30705.868644985672,14.608853877655873,1.2296228922875736,0.024880355558922082,60.199999999999996
20,15,60,58871.608327286565,62526.15983903435,30910.312767855983,14.346656945613368,0.6365468235402514,0.012794784807943214,60.4
30,30,60,58830.99327098642,62261.81491930339,28576.39946247572,14.267770092654287,0.21108074725225962,0.004589307363658155,60.8
30,5,20,58801.84248479429,60877.57370035082,28860.073937505113,14.211150356195311,-2.0168708270139124,-0.04341968565936812,59.199999999999996
40,25,60,58798.234069515194,61343.714118354066,29768.292771141892,14.204141710843857,-1.2666126610959305,-0.026436011178721002,60.6
0,30,20,58744.179453145654,63054.365908528,31033.87312377668,14.099151124550163,1.4867003429938936,0.02976415048229658,60.4
10,15,20,58715.009492438236,62938.172433537366,50236.50550981337,14.042494145321987,1.2996856579950402,0.016074035933017122,57.8
10,30,80,58709.61381138283,64473.19199537361,34068.48267399143,14.032014083571328,3.77031664520855,0.06875923941099155,58.599999999999994
50,20,80,58694.554566772036,61855.18421339147,28595.40263440776,14.002764427815412,-0.4433958779033952,-0.009633885172173224,61.4
50,15,80,58690.05653595245,63307.1557309859,33719.91315401667,13.99402787718138,1.8935683622324062,0.03488996803724993,59.599999999999994
50,5,80,58663.07320475744,63283.2179012037,33315.92772669937,13.941618000789823,1.855040160053803,0.03459453003485286,60.4
50,15,60,58651.61439124748,61237.51903161634,30474.364088253446,13.919361482670883,-1.437534829455917,-0.029308241006129516,60.199999999999996
20,25,40,58527.56360786939,61922.91148375754,28138.905527083047,13.678416946351938,-0.334388086077187,-0.007383284856829672,60.8
20,10,20,58520.53039384389,62632.80358457644,30713.747744333054,13.664756295076222,0.808191113215373,0.016348852960989566,62.4
10,5,100,58499.60548504594,65919.89333079106,36986.34725923411,13.624113726681703,6.098798468756048,0.10244927041346646,60.199999999999996
40,5,40,58402.59238845587,62144.44894385874,31207.49532759223,13.435684641929239,0.022178909785628125,0.0004415575454126327,58.599999999999994
10,30,20,58388.763883236184,60349.50828187153,27722.143176868325,13.408825458235196,-2.866797967102033,-0.0642504710255628,60.4
10,10,60,58381.78374064618,64261.63619140926,35920.59072248241,13.395267887908021,3.4298152354584803,0.05932439054383632,58.199999999999996
40,20,80,58351.70904050766,62073.93170634434,30335.85942549669,13.33685362817924,-0.09131936506851684,-0.0018703057554185698,61.8
40,10,40,58323.5058188425,61529.959455505945,29261.354118315834,13.282074351646173,-0.966848728028511,-0.020529110884224606,57.8
30,20,60,58320.13895704345,61982.95015551379,33269.06557895769,13.275534876981585,-0.23775517887521508,-0.004440127209435452,59.199999999999996
50,30,100,58282.627002980225,61461.80329396422,25794.787778928276,13.202675197001707,-1.0765468249524868,-0.025930267408735445,63.4
30,10,40,58268.27753232242,61987.821771002426,28867.746269885247,13.174804139198471,-0.2299142597864619,-0.004948334604492669,60.8
10,20,20,58226.79470485274,60756.78526346771,30253.467764966004,13.094231809401755,-2.211281154074177,-0.04541243952690544,57.99999999999999
0,30,40,58226.6108576476,65581.5031209193,40696.689971819935,13.093874721938139,5.554155677833713,0.0847939742638869,57.599999999999994
10,15,40,58206.511343335675,62993.00223591262,34223.05329651791,13.054835321909819,1.3879348322329617,0.0251974360562665,59.199999999999996
50,25,100,58107.01943823139,61737.369415705485,29628.017185476365,12.861591633397376,-0.6330200997387742,-0.013274584682998055,61.4
30,30,20,58037.42583937757,61308.480900712646,29206.127797498986,12.726419593769903,-1.323320915145801,-0.028151220312785642,60.0
40,15,40,58000.86602962142,63069.428037706595,31718.58247219214,12.655409269048654,1.5109430067404919,0.029596499140722876,62.6
20,10,80,57953.3799357557,66516.65405970879,40945.48920991641,12.563176761066803,7.059291471889216,0.10711766071226111,60.199999999999996
40,20,40,57899.222940387175,61791.140616697565,30193.152598582616,12.457987323465865,-0.5464747561525337,-0.01124521266923901,59.4
0,25,20,57877.58847219243,61982.101556721784,30476.727832795896,12.415966573852359,-0.23912100803034037,-0.004874784554192075,59.599999999999994
10,25,60,57870.65754826233,63565.26874118903,32258.341041683223,12.402504601205964,2.309004111108448,0.04447220954456001,60.199999999999996
0,5,40,57869.4702633164,62307.45063232329,31347.525635399663,12.400198530958068,0.2845319328356416,0.00563941140222712,58.199999999999996
20,30,40,57852.96303670494,62370.56678672166,35371.18446533008,12.36813645159427,0.38611808243742646,0.006782293313739333,60.6
40,10,80,57839.22295115632,62225.27427178315,30072.34448465288,12.341449005926115,0.15226817033085735,0.003145921429837894,59.599999999999994
30,10,100,57788.86844942999,64370.27169332525,34098.43821439811,12.24364517317607,3.6046652790788154,0.0656805053774036,57.599999999999994
20,25,60,57704.259966371115,63829.6994759293,35115.499262544676,12.079309639258993,2.7346083076044456,0.048384060394611246,58.8
30,20,40,57695.071080698675,60535.56482177079,27465.96639891547,12.06146201478341,-2.567337905303887,-0.058075663309469595,58.599999999999994
20,25,80,57693.67254474312,64074.573055079076,33196.421275830624,12.058745630507877,3.12873504555533,0.05855763788824323,59.0
50,25,60,57668.57417308551,61390.86493291815,28147.712730959745,12.009996921658747,-1.190722902795371,-0.026282920853158715,61.199999999999996
40,5,80,57653.48566325853,60695.55552900407,29265.951604955117,11.980690423908346,-2.309831089896337,-0.04903696723042339,58.599999999999994
