Date,Price,Open,High,Low,Change %
2016-01-04,2761.18,2796.17,2796.17,2729.63,-1.53%
2016-01-05,2766.41,2762.43,2773.54,2749.26,0.20%
2016-01-06,2729.94,2759.29,2759.29,2714.44,-1.31%
2016-01-07,2664.95,2722.82,2722.82,2659.05,-2.37%
2016-01-08,2635.76,2668.67,2688.42,2630.96,-1.09%
2016-01-11,2637.35,2640.64,2653.8,2606.36,0.09%
2016-01-12,2657.66,2642.72,2669.59,2624.21,0.78%
2016-01-13,2591.07,2659.6,2673.31,2585.72,-2.50%
2016-01-14,2634.0,2592.74,2651.4,2575.2,1.67%
2016-01-15,2576.88,2626.76,2626.76,2546.04,-2.16%
2016-01-19,2577.27,2587.41,2604.81,2554.4,0.05%
2016-01-20,2546.9,2570.05,2570.05,2482.51,-1.17%
2016-01-21,2559.94,2549.67,2588.43,2532.55,0.52%
2016-01-22,2611.61,2571.21,2614.21,2571.21,2.03%
2016-01-25,2570.07,2610.05,2610.05,2568.56,-1.56%
2016-01-26,2606.11,2572.15,2610.35,2572.15,1.41%
2016-01-27,2577.66,2604.35,2624.2,2563.56,-1.08%
2016-01-28,2591.65,2580.43,2604.79,2564.69,0.55%
2016-01-29,2655.46,2592.23,2655.46,2592.23,2.47%
2016-02-01,2653.62,2650.2,2664.29,2627.48,-0.04%
2016-02-02,2603.57,2647.76,2647.76,2595.77,-1.88%
2016-02-03,2616.32,2608.93,2623.84,2561.19,0.50%
2016-02-04,2620.18,2614.98,2636.32,2599.66,0.16%
2016-02-05,2571.37,2616.65,2616.65,2561.39,-1.85%
2016-02-08,2534.27,2561.35,2561.35,2500.23,-1.41%
2016-02-09,2532.4,2527.34,2554.27,2508.74,-0.06%
2016-02-10,2531.75,2538.86,2572.35,2529.56,-0.02%
2016-02-11,2500.34,2524.81,2524.81,2474.37,-1.23%
2016-02-12,2548.9,2505.98,2548.9,2505.98,1.95%
2016-02-16,2590.03,2556.96,2590.3,2556.96,1.65%
2016-02-17,2632.41,2594.15,2637.74,2594.15,1.65%
2016-02-18,2619.86,2633.25,2636.53,2616.18,-0.47%
2016-02-19,2619.62,2618.12,2620.98,2598.31,0.00%
2016-02-22,2656.7,2627.89,2658.34,2627.89,1.44%
2016-02-23,2623.41,2652.22,2652.22,2620.82,-1.24%
2016-02-24,2634.77,2618.11,2637.91,2581.79,0.44%
2016-02-25,2664.42,2637.39,2664.55,2628.51,1.13%
2016-02-26,2659.12,2668.67,2679.59,2656.11,-0.19%
2016-02-29,2636.8,2657.14,2672.42,2636.26,-0.81%
2016-03-01,2699.46,2643.24,2699.46,2643.24,2.39%
2016-03-02,2710.39,2696.89,2710.39,2686.24,0.41%
2016-03-03,2719.55,2708.91,2719.96,2697.72,0.35%
2016-03-04,2728.3,2720.11,2740.71,2710.29,0.33%
2016-03-07,2729.98,2722.21,2735.85,2713.07,0.09%
2016-03-08,2699.04,2723.04,2723.04,2696.45,-1.12%
2016-03-09,2712.42,2701.65,2717.06,2699.47,0.51%
2016-03-10,2712.58,2714.49,2733.71,2684.77,0.02%
2016-03-11,2756.76,2719.28,2757.04,2719.28,1.64%
2016-03-14,2752.44,2752.03,2759.26,2742.08,-0.13%
2016-03-15,2747.14,2746.32,2747.14,2732.56,-0.18%
2016-03-16,2762.28,2744.57,2768.82,2738.84,0.56%
2016-03-17,2780.28,2761.61,2787.91,2755.21,0.66%
2016-03-18,2792.28,2780.83,2796.09,2780.83,0.44%
2016-03-21,2794.21,2789.17,2797.34,2782.63,0.10%
2016-03-22,2791.5,2789.86,2800.76,2778.97,-0.09%
2016-03-23,2773.4,2789.6,2789.6,2770.94,-0.64%
2016-03-24,2772.05,2767.42,2772.18,2753.8,-0.04%
2016-03-28,2772.5,2773.72,2780.26,2765.69,0.05%
2016-03-29,2796.73,2770.6,2797.96,2760.4,0.88%
2016-03-30,2808.58,2800.96,2819.88,2800.96,0.43%
2016-03-31,2802.6,2808.18,2813.76,2799.61,-0.20%
2016-04-01,2820.16,2798.12,2823.29,2780.98,0.64%
2016-04-04,2810.25,2819.91,2821.0,2805.49,-0.32%
2016-04-05,2781.56,2805.09,2805.09,2778.03,-1.01%
2016-04-06,2810.54,2781.84,2811.35,2778.44,1.05%
2016-04-07,2776.55,2805.24,2805.24,2765.54,-1.20%
2016-04-08,2784.04,2781.18,2801.72,2776.02,0.28%
2016-04-11,2775.64,2786.79,2804.05,2775.51,-0.27%
2016-04-12,2802.16,2777.69,2806.78,2772.25,0.96%
2016-04-13,2830.02,2807.6,2831.11,2807.6,1.00%
2016-04-14,2830.3,2830.44,2837.09,2823.91,0.02%
2016-04-15,2827.18,2830.44,2830.58,2821.2,-0.10%
2016-04-18,2844.86,2823.8,2845.4,2816.87,0.65%
2016-04-19,2853.42,2847.03,2857.9,2841.06,0.31%
2016-04-20,2855.32,2854.1,2867.14,2847.04,0.08%
2016-04-21,2840.25,2854.64,2856.95,2836.18,-0.52%
2016-04-22,2840.12,2839.98,2843.78,2826.0,0.00%
2016-04-25,2834.16,2836.33,2836.33,2820.17,-0.18%
2016-04-26,2839.18,2836.6,2846.24,2831.17,0.19%
2016-04-27,2843.67,2839.73,2850.05,2826.16,0.17%
2016-04-28,2817.07,2837.56,2848.96,2811.37,-0.93%
2016-04-29,2802.56,2811.38,2814.09,2784.92,-0.51%
2016-05-02,2823.61,2804.34,2826.32,2802.85,0.78%
2016-05-03,2798.92,2817.64,2817.64,2787.39,-0.86%
2016-05-04,2781.98,2794.46,2794.46,2774.38,-0.60%
2016-05-05,2781.04,2784.16,2794.06,2774.53,-0.02%
2016-05-06,2789.59,2776.98,2790.4,2765.72,0.32%
2016-05-09,2790.97,2789.48,2798.43,2785.01,0.08%
2016-05-10,2825.55,2795.99,2826.22,2795.99,1.25%
2016-05-11,2798.31,2823.79,2823.79,2798.31,-0.95%
